"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Team ID","Название","Город","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
"","Отомстите вырвавшему","Мандрагород","0","1","1","0","0","1","0","0","1","1","0","1","1","1","0","1","1","1","1","0","1","0","1","1","1","0","1","1","0","1","0","1","1","1","1","0"
"","","McKinney","1","1","1","0","1","0","1","0","0","0","1","0","0","1","1","1","1","1","1","0","1","0","0","1","0","0","0","0","1","1","1","0","1","1","0","0"
"","null","null","1","1","0","1","0","0","1","0","0","1","0","0","1","0","1","1","1","1","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","0","1","0"
"","Команда имени Фета","Moscow-Amsterdam","1","1","0","1","1","1","0","1","1","1","0","0","1","1","1","1","1","1","0","0","1","0","1","1","0","0","0","1","0","1","1","0","1","1","0","0"
"","Бобры Добры","Москва","0","0","1","0","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1","1","0","1","0","0","0","0","1","1","0","0","0"
"","ИМЯРЕК","Нью-Йорк","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0"
"","White eagles","Москва","0","1","1","1","1","1","1","0","0","1","0","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0"
"","16 тонн","Москва","0","1","1","0","1","1","1","0","1","0","0","0","0","1","0","1","1","1","1","0","1","0","1","0","1","0","1","0","0","1","0","1","1","1","0","0"
"","Паровозное депо — непростое помещение","Москва","0","1","0","1","0","0","1","0","1","1","0","1","1","0","0","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0"
"","Джинга","Владивосток","0","1","1","1","1","1","1","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0"
